Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
ASH_1	uʧpʰa		uʧpa			uʂpa		uʃpa		uʃpʰa	uʃpʰa	uʧpa	uʧpa	uspʰa	uspa	uʧpa	uʧpa	uʧpa								uʃpa		uʧpa	uspʰa	uʧpa	uʃpa	uʃpa	
ASH_2		uʈpa			uʈpa				uʈpa															uʈpa	uʈpa								
ASH_3				uʧupa																uʧufa			uʈ͡ʂpa										
ASH_4							uʈ͡ʂpa																										
ASH_5																			uʈ͡ʂpa														
ASH_6																					uʈ͡ʂpa												
ASH_7																						uʈ͡ʂpa											
ASH_8																											uʈ͡ʂpa						
ASH_9																																	χoχeʈ͡ʂa
BACK_1	wasa	waʃa	wasa	waʃa	waʃa	waxta	waʃa	waʃa	waʃa	wasa	wasa	wasa	waqta~waχta	wasa	wasa	waχta	wasa	waqta	waʂa	waʃa	waʂa	waχta	waʃa	waʃa	waʃa	waʃa	waʃa	waʃa	wasa	waʃa	wasa	waʃa	waʃa
BE ALIVE_1	kau̯sa	kau̯sa	kau̯sa	kau̯sana	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯xsa	kawa	kau̯sa	kau̯sa	kawa	kau̯sa	kawa	kau̯sa	kau̯sana	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sana	kawa	kau̯sana	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kawa
BE ALIVE_2		jaʈa			jaʈa				jaʈa															jaʈa	jaʈa								
BE ALIVE_3												tijaku																					
BELLY_1	wixsa~wisa	wiksa	wiksa		wiksa		wiksa	wixsa	wiksa	wixsa	wisa	wixsa		wixsa	wiksa		wiksa			wiksa			wiksa	wiksa	wiksa	wiksa		wiksa	wiksa	wiksa	wixsa	iksa	
BELLY_2				wiχa																													
BELLY_3						paʈ͡ʂa							paʈ͡ʂa			paʧa		paʧa	pata		pata	paʈ͡ʂa					paʈ͡ʂa						paʈ͡ʂa
BIG_1	atʰun	hatun	hatuŋ	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun		hatun	xatun	hatun	atun	hatun	hatun	hatun	hatun	xatuŋ	atun	hatun	atun	atun	atun	χatuŋ
BIG_2																		jaʃqa															
BIRD_1	pʼisqu	piʃqo	pisχo	piʃku	piʃqo	piʃʁu	piʃku	piʃku	piʃqo	pʼisqu	pʼisʁu	pisku	piʃqu	piʧinku~piʧinkʰu	piʧinko~pisqo	piʃqu	piʧiwsa	piʃqu	piʃʔu	piʃku	piʃʔu		piʃqu	piʃqo	piʃqo	piʃku	piʃχo	piʃku	pʼisqu	piʃku	piʃqo	piʃku	piʃχo
BIRD_2			uɾpitu												urpitu																		
BIRD_3																						kuru											
BITE_1	kani	kani		kanina	kani	kani	kani	kani	kani	kani	kani	kani	kani	kani	kani	kaɲi		aɲi	kani	kanina	kani	kani		kani	kani	kanina	kani	kanina	kani	kani	kaniː	kani	
BITE_2			kaʧu												kaʧu~qaʧu		kaʧa						kaʈ͡ʂu										kaʈ͡ʂu
BITE_3															kamu																		
BLACK_1	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jaɲa	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana
BLOOD_1	ʎawar	jawaɾ	jawaɾ	jawaɾ	jawal	jawar	jawar	jawar̝	jawaɾ	jawar	ʎawar	jawar	jawar̥	jawar	jawar	jawar	jawar	jawaɾ	jawar	jawaɾ	jawar	jawar	jawar	jawaɾ	jawaɾ	rawai̯	jawaɾ	jawar	jawar	jawar	jaːɾ	jawar̥	jawaʐ
BONE_1	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʤu	tuʥu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tulu	tuʎu	tuʎu	tuʥu	tuʒu	tuʎu	tulu
BRANCH_1	ʧʼapra	ʧapɾa			ʧapla				ʧapɾa	ʧʼaχra						ʧapsa	ʧapra		ʧapla		ʧapla			ʧapɾa	ʧapɾa								
BRANCH_2			kaʎma	kaʎma										kʼaʎma																			
BRANCH_3				tanka																													
BRANCH_4						rikra																rikra											
BRANCH_5								maʒki				malxi			paʎqa					malki						paʎka						paʎka	
BRANCH_6											rama												rama					ɾama	rama				
BRANCH_7													aʈ͡ʂa																				
BRANCH_8																		ʃai̯ʎi															
BREAD_1	tʼanta	tanta	tanta	tanda	tanta	tanda	tanda	tanda	tanta	tʼanta	tʼanta	tanda	tanta	tʼanta	tanta	tanta	tanta	taɲta	tanta	tanda	tanta	tanda	tanta	tanta	tanta	tanda	tanta		tʼanta	tanda	tanta	tanda	tanta
BREAST_1	ɲuɲu	ɲuɲu	ɲuɲu		ɲuɲu		ɲuɲu		ɲuɲu	ɲuɲu	ɲuɲu			ɲuɲu			ɲuɲu	ɳuɳu	ɲuɲu			ɲuɲu	ɲuɲu	ɲuɲu	ɲuɲu				ɲuɲu	ɲuɲu	ɲuɲu		
BREAST_2		ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu	ʧiʧi			ʧuʧu				ʧuʧu~ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu			ʧiʧi	ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu		ʧuʧu		ʧuʧu	ʧuʧu
BREAST_3				qinʒu																													
BREAST_4				puɡɾu																													
BREAST_5													seno																				
BREAST_6															oqʎai̯																		
BROTHER (OF MAN)_1	wau̯qi	wau̯qi	wau̯χe	wau̯ki	wau̯qi		wau̯ki	wau̯ki	wau̯qi			wau̯xi		wai̯qi	wau̯qe	wau̯qi	wau̯χi	wau̯qi	wau̯ʔi	wau̯ki	wau̯ʔi		wau̯qi	wau̯qi	wau̯qe	wau̯ki	wau̯χe	wau̯ki		wau̯ki	wau̯qɪ	wau̯ki	wau̯χe
BROTHER (OF MAN)_2						masa																											
BROTHER (OF MAN)_3										ɲaɲa	ɲaɲa																						
BROTHER (OF MAN)_4													ɢoːqi									ukni											
BROTHER (OF MAN)_5																													tura				
BROTHER (OF WOMAN)_1	tura	tuɾi	tuɾi	tuɾi	tuli	turi	turi	turi	tuɾi			turi	turi	tura	torai̯	turi	turi	tuɾi	tuli		tuli		turi	tuɾi	tuɾi	turi	tuɾi	turi	tura	turi	tuɾa	turi	tuɾi
BROTHER (OF WOMAN)_2										ɲaɲa	ɲaɲa																						
BROTHER (OF WOMAN)_3																				wau̯ki		ukni											
